r.num,Duration,Epidemic,Rt,
781,6.25,0.00,2.00,
782,5.75,1.00,2.00,
783,261.75,748.00,0.50,
784,333.75,777.00,0.45,
785,15.75,5.00,1.99,
786,20.25,0.00,2.00,
787,35.25,4.00,1.99,
788,225.00,798.00,0.40,
789,0.25,0.00,2.00,
790,252.50,842.00,0.32,
791,255.00,774.00,0.45,
792,307.50,816.00,0.37,
793,1.00,0.00,2.00,
794,22.50,3.00,1.99,
795,0.25,0.00,2.00,
796,250.75,806.00,0.39,
797,216.25,819.00,0.36,
798,231.75,827.00,0.35,
799,3.75,0.00,2.00,
800,1.75,0.00,2.00,
801,244.50,787.00,0.43,
802,13.50,0.00,2.00,
803,237.00,774.00,0.45,
804,17.50,1.00,2.00,
805,6.75,0.00,2.00,
806,257.75,851.00,0.30,
807,280.00,722.00,0.56,
808,288.50,848.00,0.30,
809,218.25,816.00,0.37,
810,243.50,820.00,0.36,
811,228.00,838.00,0.32,
812,5.75,0.00,2.00,
813,230.50,766.00,0.47,
814,217.75,771.00,0.46,
815,3.25,0.00,2.00,
816,232.00,773.00,0.45,
817,213.50,826.00,0.35,
818,278.25,814.00,0.37,
819,246.25,825.00,0.35,
820,209.25,773.00,0.45,
821,218.25,770.00,0.46,
822,2.25,0.00,2.00,
823,283.75,792.00,0.42,
824,233.00,777.00,0.45,
825,283.25,762.00,0.48,
826,314.00,790.00,0.42,
827,26.75,4.00,1.99,
828,233.25,766.00,0.47,
829,236.00,809.00,0.38,
830,215.50,766.00,0.47,
831,296.25,748.00,0.50,
832,220.75,777.00,0.45,
833,1.75,0.00,2.00,
834,8.00,0.00,2.00,
835,3.50,0.00,2.00,
836,252.75,772.00,0.46,
837,10.25,0.00,2.00,
838,272.50,805.00,0.39,
839,217.75,785.00,0.43,
840,5.75,0.00,2.00,
841,283.25,792.00,0.42,
842,223.00,772.00,0.46,
843,4.00,0.00,2.00,
844,215.25,788.00,0.42,
845,279.50,830.00,0.34,
846,1.25,0.00,2.00,
847,289.25,817.00,0.37,
848,241.75,842.00,0.32,
849,7.25,0.00,2.00,
850,11.75,3.00,1.99,
851,4.25,0.00,2.00,
852,1.50,0.00,2.00,
853,11.50,1.00,2.00,
854,0.25,0.00,2.00,
855,11.75,1.00,2.00,
856,1.25,0.00,2.00,
857,1.25,0.00,2.00,
858,13.00,0.00,2.00,
859,265.75,785.00,0.43,
860,5.00,0.00,2.00,
861,11.75,0.00,2.00,
862,223.75,831.00,0.34,
863,7.50,0.00,2.00,
864,271.50,778.00,0.44,
865,264.00,779.00,0.44,
866,34.75,9.00,1.98,
867,235.00,818.00,0.36,
868,8.75,0.00,2.00,
869,240.25,790.00,0.42,
870,250.50,796.00,0.41,
871,402.25,798.00,0.40,
872,16.25,2.00,2.00,
873,261.50,762.00,0.48,
874,10.50,0.00,2.00,
875,11.75,0.00,2.00,
876,210.00,791.00,0.42,
877,208.25,794.00,0.41,
878,232.75,826.00,0.35,
879,225.00,786.00,0.43,
880,223.25,837.00,0.33,
881,4.25,0.00,2.00,
882,230.00,781.00,0.44,
883,21.50,1.00,2.00,
884,2.75,0.00,2.00,
885,0.25,0.00,2.00,
886,15.25,1.00,2.00,
887,303.50,790.00,0.42,
888,238.00,778.00,0.44,
889,1.50,0.00,2.00,
890,239.75,817.00,0.37,
891,3.00,0.00,2.00,
892,31.75,0.00,2.00,
893,237.50,804.00,0.39,
894,1.50,0.00,2.00,
895,4.25,0.00,2.00,
896,276.75,816.00,0.37,
897,0.75,0.00,2.00,
898,10.00,1.00,2.00,
899,237.00,783.00,0.43,
900,15.50,1.00,2.00,
901,228.00,813.00,0.37,
902,13.00,5.00,1.99,
903,237.25,766.00,0.47,
904,7.50,0.00,2.00,
905,5.00,1.00,2.00,
906,2.75,0.00,2.00,
907,6.00,0.00,2.00,
908,258.50,827.00,0.35,
909,2.00,0.00,2.00,
910,239.75,748.00,0.50,
911,325.75,793.00,0.41,
912,4.50,0.00,2.00,
913,209.00,813.00,0.37,
914,227.25,786.00,0.43,
915,279.75,810.00,0.38,
916,30.75,8.00,1.98,
917,25.75,2.00,2.00,
918,264.25,826.00,0.35,
919,269.00,795.00,0.41,
920,270.25,820.00,0.36,
921,234.50,824.00,0.35,
922,189.25,795.00,0.41,
