r.num,Duration,Epidemic,Rt,ep_high,ep_low,
8572,184.75,758.00,0.32,489.00,269.00,
8573,224.50,754.00,0.34,450.00,304.00,
8574,224.00,648.00,0.52,420.00,228.00,
8575,247.25,726.00,0.38,435.00,291.00,
8576,237.25,700.00,0.43,453.00,247.00,
8577,227.25,705.00,0.44,445.00,260.00,
8578,26.75,1.00,2.04,1.00,0.00,
8579,236.00,721.00,0.40,437.00,284.00,
8580,14.25,0.00,2.04,0.00,0.00,
8581,335.00,622.00,0.56,415.00,207.00,
8582,296.75,625.00,0.54,407.00,218.00,
8583,13.50,0.00,2.00,0.00,0.00,
8584,11.25,0.00,2.00,0.00,0.00,
8585,255.00,712.00,0.39,453.00,259.00,
8586,357.00,673.00,0.44,455.00,218.00,
8587,197.50,688.00,0.44,440.00,248.00,
8588,316.25,676.00,0.45,430.00,246.00,
8589,222.50,720.00,0.38,437.00,283.00,
8590,249.25,728.00,0.38,439.00,289.00,
8591,15.00,1.00,1.95,1.00,0.00,
8592,233.75,727.00,0.38,444.00,283.00,
8593,247.00,661.00,0.48,429.00,232.00,
8594,278.00,689.00,0.41,448.00,241.00,
8595,226.25,697.00,0.45,459.00,238.00,
8596,22.50,1.00,2.01,1.00,0.00,
8597,313.00,719.00,0.41,442.00,277.00,
8598,242.25,673.00,0.46,425.00,248.00,
8599,275.75,700.00,0.43,447.00,253.00,
8600,17.25,1.00,2.02,1.00,0.00,
8601,219.25,698.00,0.41,454.00,244.00,
8602,238.25,696.00,0.43,433.00,263.00,
8603,220.00,686.00,0.44,435.00,251.00,
8604,317.75,681.00,0.46,434.00,247.00,
8605,275.25,639.00,0.51,437.00,202.00,
8606,238.75,646.00,0.52,423.00,223.00,
8607,28.75,2.00,1.94,1.00,1.00,
8608,263.00,693.00,0.43,456.00,237.00,
8609,317.25,737.00,0.36,468.00,269.00,
8610,59.75,5.00,1.97,5.00,0.00,
8611,8.50,0.00,2.04,0.00,0.00,
8612,25.50,0.00,2.00,0.00,0.00,
8613,212.50,734.00,0.36,480.00,254.00,
8614,10.00,0.00,1.97,0.00,0.00,
8615,261.50,722.00,0.37,441.00,281.00,
8616,16.25,0.00,2.01,0.00,0.00,
8617,229.75,631.00,0.54,403.00,228.00,
8618,263.00,670.00,0.46,434.00,236.00,
8619,326.50,667.00,0.45,394.00,273.00,
8620,9.00,1.00,1.99,1.00,0.00,
8621,8.75,0.00,2.03,0.00,0.00,
8622,189.00,717.00,0.37,474.00,243.00,
8623,19.25,0.00,2.01,0.00,0.00,
8624,13.75,0.00,2.04,0.00,0.00,
8625,215.00,696.00,0.41,463.00,233.00,
8626,269.00,695.00,0.42,436.00,259.00,
8627,258.50,670.00,0.45,442.00,228.00,
8628,38.00,1.00,2.02,1.00,0.00,
8629,250.75,621.00,0.53,397.00,224.00,
8630,261.50,722.00,0.36,450.00,272.00,
8631,304.25,652.00,0.52,420.00,232.00,
8632,205.50,709.00,0.43,457.00,252.00,
8633,94.75,12.00,1.92,9.00,3.00,
8634,23.25,1.00,2.00,0.00,1.00,
8635,315.75,637.00,0.51,429.00,208.00,
8636,216.75,691.00,0.43,452.00,239.00,
8637,43.50,3.00,2.01,3.00,0.00,
8638,231.50,669.00,0.48,433.00,236.00,
8639,13.25,0.00,2.01,0.00,0.00,
8640,26.50,2.00,1.99,2.00,0.00,
8641,291.25,644.00,0.54,411.00,233.00,
8642,16.50,0.00,2.01,0.00,0.00,
8643,295.25,628.00,0.55,391.00,237.00,
8644,263.75,670.00,0.47,440.00,230.00,
8645,240.00,682.00,0.44,436.00,246.00,
