,Duration,Epidemic,ep_high,ep_low,Rt
2157,217.25,712,445,267,0.398
2158,229.75,650,430,220,0.49
2159,256.25,667,444,223,0.445
2160,286.5,693,450,243,0.407
2161,23.5,0,0,0,2
2162,332,630,423,207,0.524
2163,223.75,683,446,237,0.425
2164,233.5,705,442,263,0.411
2165,285.5,731,445,286,0.379
2166,308.75,663,435,228,0.467
2167,284,649,427,222,0.497
2168,298.75,708,447,261,0.398
2169,286,690,434,256,0.442
2170,238.75,692,449,243,0.41
2171,232.25,703,444,259,0.409
2172,9.75,0,0,0,2
2173,8,0,0,0,2
2174,211,663,435,228,0.467
2175,301,691,442,249,0.425
2176,313.25,667,434,233,0.465
2177,15.25,1,0,1,1.999
2178,292.5,604,396,208,0.604
2179,40.75,1,1,0,1.997
2180,311.5,672,437,235,0.454
2181,323.75,698,428,270,0.446
2182,218,702,458,244,0.382
2183,208.25,649,419,230,0.513
2184,248,670,430,240,0.47
2185,209.5,730,456,274,0.358
2186,15.25,0,0,0,2
2187,255.75,695,447,248,0.411
2188,6.25,0,0,0,2
2189,296.5,691,445,246,0.419
2190,224.75,712,444,268,0.4
2191,300,659,434,225,0.473
